id,business_type,minimum_requirements,people_needed,core_skills,strategies,risks,min_capital,startup_cost,business_setup,experience_level,category
1,Advertising Agency,Office laptops clients,3-15 staff,Marketing creativity sales,Portfolio referrals branding,Client loss competition,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General
2,Affiliate Marketing,Laptop internet,Solo,SEO content marketing,Niche focus traffic building,Low conversions,5000.0,"₱5,000 - ₱15,000",Online / Home-Based,Beginner,General
3,Agri Equipment Rental,Machinery capital,2-6 staff,Maintenance scheduling,Local farmer tieups,Equipment damage,35000.0,"₱35,000 - ₱60,000",Physical Store,Intermediate,General
4,App Development Studio,Laptops hosting,3-20 devs,Programming UX testing,Client apps SaaS pivot,Scope creep,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General
5,Artificial Jewellery Shop,Shop inventory,1-3 staff,Design pricing sales,Trendy collections,Low margins,15000.0,"₱15,000 - ₱30,000",Physical Store,Beginner,General
6,Bakery,Kitchen license,3-10 staff,Baking inventory hygiene,Freshness local delivery,Food spoilage,75000.0,"₱75,000 - ₱120,000",Physical Store,Experienced,General
7,Battery Recycling Unit,Land license,5-20 workers,Process safety compliance,Corporate contracts,Environmental fines,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Experienced,General
8,Bicycle Rental,Bicycles GPS,1-4 staff,Maintenance customer handling,Tourist locations,Damage theft,15000.0,"₱15,000 - ₱30,000",Home-Based,Beginner,General
9,Blog Website,Laptop internet,Solo,Writing SEO consistency,Content authority,Low traffic,5000.0,"₱5,000 - ₱15,000",Online / Home-Based,Beginner,General
10,Bookstore,Shop inventory,2-5 staff,Stock management reading culture,Events community,Rent cost,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General
11,Business Consultancy,Expertise brand,1-10 consultants,Problem solving documentation,Value pricing referrals,Client dependency,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General
12,Cab Aggregator,Fleet app capital,5-50 staff,Logistics tech ops,Driver incentives,Regulatory issues,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Beginner,General
13,Catering Service,Kitchen equipment,5-25 staff,Food planning logistics,Bulk orders quality,Food safety risk,150000.0,"₱150,000 - ₱250,000+",Physical Store,Beginner,General
14,Cloud Kitchen,Kitchen delivery apps,5-20 staff,Menu costing packaging,Aggregator optimization,Commission costs,150000.0,"₱150,000 - ₱250,000+",Physical Store,Beginner,General
15,Coaching Institute,Classrooms faculty,2-15 teachers,Teaching curriculum marketing,Results branding,Competition,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General
16,Cold Storage,Land power backup,5-20 staff,Inventory temperature control,Farm tieups,High electricity,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Beginner,General
17,Computer Training Center,PC lab faculty,2-10 trainers,Teaching sales syllabus,Certification tieups,Low enrollments,35000.0,"₱35,000 - ₱60,000",Online / Home-Based,Beginner,General
18,Construction Contracting,Licenses machinery,10-200 workers,Project management estimation,Networking timely delivery,Payment delays,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Intermediate,General
19,Content Creation Agency,Cameras editing setup,2-10 creators,Storytelling editing,Brand deals,Algorithm dependency,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General
20,Courier Franchise,Office bikes staff,5-20 staff,Logistics tracking customer care,Local coverage,Service complaints,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Beginner,General
